doc id: 0, Sim: 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
doc id: 1, Sim: 0.0 1.0000000000000002 0.0369028753437032 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0309413104836086 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
doc id: 2, Sim: 0.0 0.0369028753437032 1.0000000000000007 0.028068634521833932 0.02077923778715361 0.0 0.0 0.009722324267314933 0.0 0.0 0.0 0.0 0.015298782675432294 0.008754388832754268 0.0 0.0150095914951742 0.0 0.0 0.0 0.0 0.012515034106126609 0.035336790387526205 0.0 0.0 0.0 0.01318526569379343 0.005070244113565966
doc id: 3, Sim: 0.0 0.0 0.028068634521833932 1.0000000000000002 0.08292322401268451 0.0 0.0 0.03231636412862353 0.035412369522150225 0.03316782618774255 0.08243422273252649 0.0 0.1069320992595814 0.07188822089242991 0.07087623292801978 0.040145587439653116 0.030965362323932596 0.03237551590936933 0.036870578187534093 0.12046336985204234 0.08430876927471201 0.13053279567485873 0.08070298244931504 0.07846090891422199 0.07281774845285502 0.18947093147442493 0.09408750697931884
doc id: 4, Sim: 0.0 0.0 0.02077923778715361 0.08292322401268451 1.0000000000000002 0.0 0.16574097396695806 0.07662954742535785 0.0 0.01917096920974855 0.087529732808993 0.0 0.07759102769400279 0.07967244798513787 0.12462901661713711 0.07464655301820253 0.0 0.0 0.03372386530442069 0.07783924311100476 0.08186793408151327 0.03636804527283514 0.11105525440813871 0.0 0.08626900062731392 0.18779907092291193 0.08584990045318129
doc id: 5, Sim: 0.0 0.0 0.0 0.0 0.0 1.0000000000000002 0.0 0.027405951478641367 0.05709828397433583 0.0 0.0 0.0 0.0 0.028346656111981394 0.0 0.048600963085296676 0.0 0.0 0.09250550484930091 0.02252156170633906 0.0 0.0 0.0 0.0413482157954987 0.03247785799002961 0.06497787012913425 0.04712718755431123
doc id: 6, Sim: 0.0 0.0 0.0 0.0 0.16574097396695806 0.0 1.0000000000000002 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.12858653069627837 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
doc id: 7, Sim: 0.0 0.0 0.009722324267314933 0.03231636412862353 0.07662954742535785 0.027405951478641367 0.0 1.0000000000000002 0.0 0.07950682525813638 0.044713097752693685 0.0 0.06937486121095376 0.0474350744795123 0.017807848871428653 0.09359104636917777 0.0 0.0 0.015778940372852938 0.0842578059945392 0.039221432071093916 0.04367554507074179 0.035016067657153316 0.025385670418447425 0.028693730309202792 0.10928971870457384 0.07507030824081849
doc id: 8, Sim: 0.0 0.0 0.0 0.035412369522150225 0.0 0.05709828397433583 0.0 0.0 1.0 0.040566022039099925 0.030200256899034925 0.06672519547571623 0.08103354654269597 0.06631614040806204 0.0581272829038407 0.0 0.0 0.0 0.0 0.05626104022986601 0.0 0.0 0.0 0.0 0.03722284276232469 0.06756189490103355 0.02319748534276775
doc id: 9, Sim: 0.0 0.0 0.0 0.03316782618774255 0.01917096920974855 0.0 0.0 0.07950682525813638 0.040566022039099925 0.9999999999999997 0.11759278462582791 0.04744167064156674 0.14080692456601973 0.09160748219458414 0.044620138794252244 0.09488740775071319 0.0 0.0 0.0287992629243534 0.10614612428217951 0.10818601147750606 0.09991677463723644 0.059459546853378925 0.037604249752198345 0.031620421787956286 0.13107500596065483 0.07858086551554615
